team_id,team_name,competition_id,season_id,competition_name,season_name,country_name,competition_gender,n_matches,passes_per_match,net_density,net_avg_degree,assortativity,transitivity,n_communities,modularity,mean_degree_centrality,mean_betweenness,mean_closeness,mean_eigenvector,max_betweenness,mean_pass_length,short_pass_frac,long_pass_frac,vertical_pass_frac,diag_pass_frac,rate_pass,rate_carry,rate_shot,rate_pressure,rate_dribble,rate_ball_recovery,rate_interception,rate_foul_committed,rate_clearance,rate_block,rate_miscontrol,rate_dispossessed
24,Liverpool,16,4,Champions League,2018/2019,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4811169006135,0.15950920245398773,0.30368098159509205,0.0,0.0,326.0,214.0,14.0,250.0,6.0,41.0,11.0,10.0,23.0,9.0,11.0,7.0
38,Tottenham Hotspur,16,4,Champions League,2018/2019,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.194276107269506,0.14716312056737588,0.24113475177304963,0.0,0.0,564.0,455.0,16.0,64.0,9.0,59.0,4.0,5.0,28.0,16.0,11.0,12.0
24,Liverpool,16,1,Champions League,2017/2018,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.404135763333333,0.2111111111111111,0.22777777777777777,0.0,0.0,360.0,273.0,14.0,134.0,13.0,53.0,3.0,20.0,16.0,13.0,5.0,9.0
220,Real Madrid,16,1,Champions League,2017/2018,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.125417616210996,0.23179791976225855,0.18573551263001487,0.0,0.0,673.0,523.0,14.0,92.0,16.0,42.0,8.0,5.0,17.0,23.0,11.0,19.0
224,Juventus,16,2,Champions League,2016/2017,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.375638553393667,0.22171945701357465,0.19004524886877827,0.0,0.0,442.0,343.0,9.0,103.0,10.0,38.0,10.0,26.0,8.0,16.0,8.0,9.0
220,Real Madrid,16,2,Champions League,2016/2017,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.428198139892668,0.17173524150268335,0.2039355992844365,0.0,0.0,559.0,502.0,18.0,91.0,23.0,45.0,9.0,17.0,12.0,20.0,8.0,8.0
224,Juventus,16,26,Champions League,2014/2015,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.227795389124665,0.22015915119363394,0.22015915119363394,0.0,0.0,377.0,304.0,15.0,144.0,12.0,44.0,2.0,25.0,8.0,19.0,18.0,11.0
217,Barcelona,16,26,Champions League,2014/2015,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.909930090333333,0.26666666666666666,0.16,0.0,0.0,600.0,521.0,17.0,122.0,22.0,54.0,2.0,15.0,17.0,7.0,18.0,13.0
212,Atlético Madrid,16,27,Champions League,2015/2016,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.216162354038996,0.2562674094707521,0.16434540389972144,0.0,0.0,718.0,583.0,22.0,129.0,41.0,65.0,2.0,20.0,19.0,29.0,18.0,12.0
220,Real Madrid,16,27,Champions League,2015/2016,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75001728859375,0.1828125,0.1984375,0.0,0.0,640.0,541.0,31.0,171.0,29.0,58.0,10.0,22.0,34.0,26.0,23.0,14.0
169,Bayern Munich,16,24,Champions League,2012/2013,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.647367098302208,0.1494057724957555,0.24787775891341257,0.0,0.0,589.0,450.0,17.0,102.0,17.0,59.0,4.0,9.0,14.0,15.0,13.0,9.0
180,Borussia Dortmund,16,24,Champions League,2012/2013,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.525611469099758,0.18004866180048662,0.25790754257907544,0.0,0.0,411.0,282.0,13.0,180.0,16.0,70.0,3.0,13.0,16.0,29.0,14.0,13.0
220,Real Madrid,16,25,Champions League,2013/2014,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.672933689858795,0.1527599486521181,0.22721437740693196,0.0,0.0,779.0,635.0,20.0,105.0,35.0,70.0,7.0,21.0,25.0,25.0,15.0,30.0
212,Atlético Madrid,16,25,Champions League,2013/2014,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.567428680932206,0.2245762711864407,0.23940677966101695,0.0,0.0,472.0,339.0,12.0,177.0,25.0,80.0,5.0,29.0,29.0,34.0,19.0,10.0
33,Chelsea,16,23,Champions League,2011/2012,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.22913015617174,0.1413237924865832,0.25402504472271914,0.0,0.0,559.0,488.0,14.0,189.0,46.0,45.0,11.0,27.0,38.0,49.0,15.0,15.0
169,Bayern Munich,16,23,Champions League,2011/2012,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.267730183569405,0.18555240793201133,0.16855524079320114,0.0,0.0,706.0,621.0,45.0,184.0,39.0,66.0,9.0,16.0,14.0,11.0,14.0,12.0
39,Manchester United,16,22,Champions League,2010/2011,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.820483705063292,0.16962025316455695,0.23037974683544304,0.0,0.0,395.0,321.0,4.0,246.0,15.0,33.0,22.0,17.0,11.0,17.0,13.0,9.0
217,Barcelona,16,22,Champions League,2010/2011,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.395287067593713,0.23458282950423218,0.10519951632406288,0.0,0.0,827.0,764.0,22.0,143.0,29.0,50.0,6.0,5.0,6.0,9.0,10.0,16.0
238,Inter Milan,16,21,Champions League,2009/2010,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68030477114094,0.2080536912751678,0.2953020134228188,0.0,0.0,298.0,225.0,12.0,210.0,22.0,55.0,9.0,14.0,16.0,27.0,8.0,17.0
169,Bayern Munich,16,21,Champions League,2009/2010,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.83372293023622,0.09448818897637795,0.2251968503937008,0.0,0.0,635.0,566.0,22.0,146.0,22.0,52.0,3.0,17.0,11.0,12.0,18.0,3.0
217,Barcelona,16,41,Champions League,2008/2009,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.154542088996138,0.25096525096525096,0.16602316602316602,0.0,0.0,518.0,431.0,11.0,137.0,9.0,40.0,10.0,8.0,26.0,14.0,15.0,17.0
39,Manchester United,16,41,Champions League,2008/2009,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.117623930927834,0.18969072164948453,0.23505154639175257,0.0,0.0,485.0,356.0,12.0,94.0,15.0,39.0,6.0,14.0,27.0,7.0,14.0,10.0
24,Liverpool,16,39,Champions League,2006/2007,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.226625618765432,0.16296296296296298,0.31851851851851853,0.0,0.0,405.0,255.0,14.0,159.0,18.0,52.0,8.0,26.0,21.0,17.0,14.0,16.0
243,AC Milan,16,39,Champions League,2006/2007,Europe,male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.468255209955753,0.19469026548672566,0.23672566371681417,0.0,0.0,452.0,336.0,6.0,94.0,16.0,55.0,1.0,19.0,55.0,21.0,15.0,19.0
